,source,edge,target
7123,Otherwise  reference,made to,.
7124,Value  reference,.,Kartei NW Kartei §
7125,value,is,even  farmers
7127,1981 BMF I,S,127 BMF 15
7128,Appendix,pointed,5 tax manual edition
7129,3 value they,i,§ §
7130,1  BewG,made,22  para
7131,when business reference,made to,1 1984 1 St
7137,44  Determination,made,Average livestock values 125
7138,average livestock values,EStG,7 marketing 1981
7139,442  Value,applies,apartment number
7140,proper  profit,is,162  AO
7141,2  they,applies to,3  EStG
7142,estimate,has,Section
7144,Section,sentence,account
7145,profit,be,estimate
7146,however  who,are,tax cooperation obligations
7147,examination,ensured,other  reasons
7148,assessment,is,subject  review
7149,Otherwise  procedure,is in,Section
7150,explanatory  text,included in,notification
7153,162  you,estimated according,winnings
7154,you,declared,books
7155,higher  tax,set,higher  estimated
7157,However  you,by,further  §
7159,failure,like,already tax risk
7160,standard estimation method,left to,individual tax office
7161,individual estimation method,is,particularly operating result
7163,1 starting amount,paid for,522 starting amount
7168,guideline rates,intended as,accurate  profit
7170,individual  conclusions,is,entire  business
7171,application,lead to,12 1965 BStBl
7174,521 starting amount,is,71 1for pasture grassland
7178,root crop content,is more,LN1500 DMc
7179,LN,is in,20 sugar beet %
7180,starting amount,increases to,2000  DM
7181,root crop content,exceeds,30  %
7183,additional  amount,added to,200 root DM
7187,LN1600 .,apply,LN1600 DMc
7188,case,are,15 LN600 DM
7190,reference,made to,1983  St
7191,surcharge,is,separately starting amounts
7192,agricultural production areas,belong to,agricultural  use
7195,Areas,included,house gardens
7198,Sugar beet share,depends on,respective marketing year
7199,root crops,include,only catch crops
7200,field forage areas,belong to,field
7202,starting they,are,agriculture
7204,Hereditary  assets,belong to,agricultural business assets
7205,523  Surcharges,settled with,starting amount
7206,sustainable operating that,are,starting amount
7209,4,profits from,living Annex BV
7210,individual sales proceeds,sows,900 Breeding DM
7211,additional  profit,is,horses
7212,selling price,amount by,6000  DM
7213,"13,000",amount of,40  cent
7216,above  they,taken into,above  values
7217,additional  profit,has,individually  animal
7218,sales that,carried,above  values
7219,above  prices,is,valuable breeding animals
7220,value,results from,normal animal husbandry
7221,normal animal population,settled with,starting amount
7222,that,found in,also starting Annex
7226,forage area,includes,context
7228,even forage grain,included in,farm
7229,When livestock procedure,is in,2 Income Tax Regulation
7230,average  herds,are,to Appendix L
7232,profit,is,financial  year
7233,Wages,taken into,account
7234,agricultural Field vegetable cultivation,understood,agricultural crop rotation
7235,distinction,made between,cultivation vegetable replica
7236,Additional  profit,For,"5,000 starting reduction"
7237,It,is up,actual field vegetable growing
7240,remaining  amount,is,hectare starting area
7241,standard  rates,take into,account wages
7242,well trout pond,growing,accordingly  profit
7245,524  Value,applies,apartment number
7246,always  expenses,applied,when starting amounts
7247,521  business,based on,unpaid  workers
7248,insofar starting they,are,starting amount
7249,treatment,paid for,starting amount
7250,Additional  profits,related to,5231 surcharge 5235
7253,well  who,include,well  workers
7254,Contractors,made available,certain  ordering
7255,wage expenses,are,25 wage %
7259,such income tax reference,made to,62  lit
7261,they,deducted,when  .
7262,lease payments,are,attributable starting amount
7263,also  that,covers,already operating expenses
7265,therein  which,are,such  expenses
7268,individual  it,be,5  percent
7270,business,taken into,owner
7271,agricultural  depreciation,is available,business lessor
7273,authorized starting amount,increased by,leased  LN
7274,It,is up,detail
7277,82 § i,EStDV into,consideration
7278,increased  deductions,EStG in,2 starting percent
7280,76 starting register,EStG,7 5 St
7281,I,ask,income tax file
7282,assessment basis,increased by,excessive depreciation account
7284,initial  amount,increased for,remaining  use
7285,76 profit 724/49,kept,income tax file
7286,following cashless retirement values,used as,630 retirement DM
7287,however  requests,are,pro energy bills
7289,partial  benefits,checked in,individual  case
7291,1 calendar EStG,has,1988 calendar .
7292,body,is,individual  taxpayer
7293,that,disclose,fixed  unit
7295,that,summarized on,4 Annex L.
7296,therefore  livestock,ask in,obviously animal area
7297,41 assessment body,informed by,4 Annex L.
7301,same,applies to,free  charge
7302,This,St,3  4
7303,I,ask,lessee Annex lessor
7305,cases,cases without,responsible tax field audit
7306,also wage expenses,applies,when  profit
7308,possible  profit,evaluated,possible  which
7309,assessment ​​to,ask,when  profits
7310,2 book keeping farmers,obliged,also tax annexes
7311,to Annex which,applies in particular,only valuation farmers
7313,section,contains,basic  sales
7314,similar balance reference,is sufficient,relevant Annex documents
7316,4,is for,commercial animal breeding
7318,applicable  type,is important,profit determination
7319,who,ask,full Appendix future
7320,system,returned for,completion
7321,who,be advisable,next Annex L
7324,1990 Tax Reform which,notifications,already income tax assessment
7325,1 accounting AO,exceeded,140 accounting Section
7326,141  AO,informed in good,good accounting obligation
7327,special tax notification,provide for,legal  certainty
7328,reference,Rdvfg,agricultural accounting operations
7336,2 ESt Kartei,​​are decisive,contained  values
7338,own lump meals,checked within,book keeping surveys
7339,that,found,broad  practice
7340,extensive self sufficiency,is,peasant family
7343,fixed lump sums,are,1986/87 marketing year
7349,residential business building,Paragraph,third  Sect
7351,161  income,EStG,2  Section
7352,also ESt apartment,value in,same  type
7353,profit,.,1 Income Tax Act
7354,average  rent,is,comparable  type
7355,rental  value,determined according,tax office
7356,far  these,take into,special rent index
7363,rental  these,undertake,yet rent index
7364,Deductions,considered because,reducing  agriculture
7367,normal Section II .,see,17  Rdvfg
7369,reference,made to,Section
7370,tax assessment,is,1986
7372,3 operating I,a,127  Paragraph
7374,average livestock values assessment,permitted for,farmers
7377,82 Income Tax use,requires,Income Tax Act
7378,beneficial tax asset,made at,financial tax which
7379,directory,is,later tax return
7381,proper  profit,estimated in individual,individual  Section
7382,3 Section they,have,sense
7385,estimate,has,Section
7386,half  sentence,EStG,EStR  Section
7387,individual  Section,sentence,individual  cases
7388,profit,be,estimate
7390,closest  that,is,proper  accounting
7391,always  that,given,individual  case
7392,however  who,are,tax cooperation obligations
7393,tax audit,is important,other  reasons
7394,longer accounting themselves,keep,longer accounting books
7395,assessment,carried,subject  review
7396,agricultural Income Tax that,as agricultural,special EStG Tz
7398,basically estimation it,uses in,individual  case
7399,however  profit,have,similar accounting operations
7400,basis,is,this
7401,profit,No,operational  conditions
7403,Surcharges,settled with,initial  estimate
7409,However profit estimate,lead to,incorrect  taxation
7411,even  I,ALS,agricultural  audit
7412,agricultural starting estimate LN,Estimated,hectare forage cultivation v
7423,unfavorable soil discount,made upon,initial  request
7425,relevant  ALS,check,discount
7426,agricultural  area,includes,agricultural production leases
7427,Areas,taken into,similar field account
7428,quarter,are,agricultural  underuse
7429,corresponding catch areas,are,agricultural  area
7430,forage cultivation I,refer to,No
7432,initial  they,added to,agriculture
7434,Hereditary  assets,belong to,agricultural business assets
7435,333  Surcharges,settled with,initial  estimate
7436,sustainable operating that,profits,initial  estimate
7438,Extra cattle I,like,3331 land cf
7441,corresponding  I,growing,No
7443,Tobacco harvest yields,Wj,growing  follows
7444,Cultivation area,yield German,German
7445,that,was through,wetness
7446,quality,was good,1987  harvest
7447,Damage,led to partial,total  Hördt
7448,income,included in,hail insurance income
7449,9200  DM,taken into,actual construction costs
7450,normal animal population,settled with,estimated starting amount
7451,where forage area,are,growing VE50 operations
7453,forage area,includes,pure fodder seed
7454,When  procedure,EStR,Section 1987
7455,inventory excess Grosshandel0Legehennen eggs sale,taken into,attributable  account
7457,3335  Sales,No,additional breeding cattle
7460,shutdown,quantities,milk production
7461,shutdown,St,18 ESt §
7462,Corresponding  fees,are,initial  estimate
7464,16,contained,principles
7465,gross rental value,No,always debt interest
7468,331,taken into,account
7470,company,assumed,unpaid  workers
7471,insofar  they,are,initial  estimate
7472,proportionate wage expenditure,in particular,individual  calculation
7474,insofar  they,deducted,already surcharge calculation
7476,Expert fees,feed,other money services
7477,such  facts,Insofar,especially company audits
7481,profit,increased,initial  Section
7482,relevant  requirements,depreciation according,initial  estimate
7483,otherwise depreciation amounts,taken into,initial  estimate
7485,increase,carried,useful  life
7486,well  correction,is,EStDV  simplification
7487,future control ESt,kept,7 income tax files
7488,standard sales rates,set,financial  paragraph
7491,33,is available,6 tax form
7494,further  I,refer to,following  arrangements
7497,average Section 13a,sentence,average  rates
7499,1 Section EStG,included in,average  conditions
7500,loss,offset against,average Income Tax Act
7502,8  EStG,is positive,only  13a
7503,granting,lead to,loss
7504,profits,are,operating Income Tax income
7505,I,refer to,Rdvfg
7508,agricultural BP agency,ask,closure  distilleries
7509,This,inform,necessary reference rates
7510,breeding that,.,normal Section 13a
7511,additional  profits,continue,previous breeding procedure
7512,starting  values,is,2200 sheep surcharge
7514,land I,like,correct  sales
7517,partial  benefits,see,28 7 83 BStBl
7520,24 1,St,12 ESt §
7522,called business leasing I,refer to,Rdvfg
7524,7 Section EStG,sentence,recurring  Section
7525,This,results from,occupied  apartment
7527,permanent  which,are deductible,recurring  kind
7528,however rem deductions,are,wear
7530,trade,depends on,total gardening turnover
7532,135 tax EStR,continues,simplification
7533,agricultural horse I,refer to,26  11
7535,135  instructions,are,also income tax businesses
7538,operational  bases,choose,several  tenants
7539,long  this,continued,clearly  choice
7540,how  assets,are,1987 BFH BStBl
7542,whoever,is,later  continuation
7543,later  business,speaks for,essential  lease
7544,economic  goods,retained without,structural farm changes
7545,essential lease agreements,speaks in,uniform  duration
7546,written  taxpayer,para,Sect
7548,acquisition  costs,permitted,3  %
7550,when purchase price,divided between,properly  land
7551,happened,checked by,regional tax office
7552,I,ask,relevant finance files
7553,only  proceeds,guaranteed,55 loss Tillering
7557,corresponding book value,determined by,regional finance directorate
7558,immediately  sale,ask,individual  case
7560,563 Tariff reduction,forwarded,regional tax office
7561,privileged wood which,receive,assessment
7562,usual  control,reports for,Bp
7563,lease control notifications,prepared,ESt 34 form
7564,lease use ratio,cases in,special  i
7566,possible unit value profit,ask,possible unit value which
7567,When  it,be useful,standard value files
7568,same,applies to,when Income Tax Act
7569,1990 Tax Reform that,Amendments to,already income tax assessment
7570,residential business that,belonging to,1986 assessment period
7571,1987  apartment,is,senior  completion
7572,also building application,covers,28 2 1986
7573,residential business that,can after,the
7574,regulation,applies,employed business work
7577,step tax who,introduced,debt repayment
7578,new  regulations,are,already  December
7579,exemption,extended by,four debt 1992
7583,Administrative Baden Württemberg,9BFH,R 301/83 v
7587,1986 farm this,p,BFH November
7588,15 withdrawal sentence,exist,factual  equity
7589,this,arises,forced  son
7590,1986  question,is,general profit determination principles
7591,real  partner,is,private  assets
7593,special  transfer,is,taxable  removal
7594,however  latter,is,2 1976 BStBl II p
7596,apartment,treated as,temporarily business asset
7597,However  this,leads to,only farm takeover
7599,operational business reasons,EStR,Section
7600,apartment,assumed,private  reasons
7601,apartment,assigned to,necessary business assets
7602,accordingly  apartment,apply,free  Use
7603,there  farm,left,assets
7604,private  use,given,expressly employment contract
7605,then business they,is,free  renting
7608,beneficial  owner,assigned,beneficial  income
7609,apartment,incl,free business property
7611,also  employee,assigned,wages
7612,apartment,provided,operational  reasons
7613,expenses,is,free lease agreement
7614,exclusively  value,represents taxable,taxable employment wages
7615,rental company interest,excluded from,due operating expenses deduction
7616,future lease apartment,remain in,will business assets
7617,decree,is,free  business
7618,future farm owner,is,charge
7619,private  he,belongs to,residential  purposes
7620,withdrawal profit,contains,whom
7621,withdrawal profit,EStG,2  December
7623,13aIncome EStG taxation,paid,1988 calendar winnings
7624,222  Tobacco,For,1 calendar year
7625,basic  regulations,dated,2 ESt card index
7626,other Area areas,Estimated,ha forage cultivation percent
7636,growing income tax I,refer to,No
7639,estimated starting amounts,include,public funding programs
7641,Circular  decree,pointed,18  4
7644,Fruit,index,1990 A St
7645,crop yields,Wj,growing  follows
7646,Cultivation area,haErtrag,German
7647,1988 tobacco that,net,slightly  average
7648,quality,varied,greatly  farm
7649,insufficient air which,was,lower quality class
7650,Minor hail damage,occurred in,sporadically  Germersheim
7651,income,included in,hail insurance income
7653,Income,include,also EC overproduction
7654,guaranteed Commission quantities,exceeded,German  Burley
7655,5 % premium,was,varieties
7657,corresponding  income,was,financial  year
7658,maximum Geudertheimer quantity,expired,Geudertheimer variety
7659,9200  DM,taken into,actual construction costs
7660,corresponding  I,refer to,para
7662,actual  which,are deductible,detail
7663,amount,estimated,expenses
7664,values,p,suitable BFH 23
7667,values,are,4  SachbezV
7668,1988 assessment I,S,respective assessment 19881989
7670,costs,are,old age divider
7671,retirement benefits,.,other  Section
7672,rental market value,is,use taxation
7673,76 EStG Special profit,is possible,Section 13a EStG
7674,special  depreciation,is sufficient,1985 II p
7676,five commitment entitlement,approval,4 Income Tax Act
7679,financial  income,is,missing  harvest
7680,financial  inflow,is,financial  which
7681,set Income Tax premium,settled,basic Income Tax Act
7682,I,ask,Section II
7685,1989 BMF I,S,1989 BMF BStBl
7686,13 ESt I,point,to ESt §
7687,1976 BStBl I,S,private BFH December
7688,operational business reasons,leads to,rental
7689,apartment,assumed,private  reasons
7690,apartment,assigned to,necessary business assets
7691,1 area EStG,given,own animal animals
7692,riding riding that,is,1989 II p
7694,commercial  company,p,sports BFH 16
7696,significant area services,provided,entire area Section
7697,that,p,BFH 24
7699,33 horse keeping card,are,accordingly income tax operations
7700,3 ForstschAusglG who,Interpretation of,i
7701,taxable  conditions,ForstschAusglG,Section
7702,only company equalization fund,permitted,same  amount
7703,When compensation prerequisites,observed,Paragraphs
7704,financial  funds,released at,financial  which
7705,fund,used in,3 income tax cent
7706,released  that,of,Paragraph
7707,long fund resources,apply,corresponding tax Section
7708,free  reserve,set,later  date
7710,provisions,observed,reserve
7712,double bases121 General122 Taxation,Income from,3 Switzerland employment
7714,foreign taxation activity,decree,information
7715,audit offices,intended,z
7717,particular  earnings,dealt with,only  part
7719,Issues,taken into,175 BFH account
7720,it,is,relevant  regulations
7721,HSachB External Tax Law,involved in,corresponding  doubt
7722,main  content,ask,service briefings
7723,guideline,revised after,certain testing period
7725,I,ask,October
7726,foreign tax that,see,tax assessment d
7727,domestic  income,EStR,global income Section
7728,existing  methods,observed,foreign  income
7730,insofar  it,is,domestic income tax
7732,income,is,32b EStG
7733,foreign  income,be,Section
7734,7  EStG,are subject,income tax
7735,DTA,justify,domestic tax part
7736,foreign  type,determined in,German  law
7738,Lump sums,are,account
7742,monthly Tax Gazette I,conversion at,monthly Tax Gazette Part
7743,taxpayer,provide,appropriate  documents
7746,References,obtained from,domestic control residence
7747,that,Certificates of,foreign withholding taxes
7748,Foreign  income,is,also  taxation
7749,they,avoidance of double,double Federal taxation
7750,German  that,are,foreign  income
7755,DTA,exists for,crediting
7758,insofar  this,is,DTA
7761,221 Federal Republic,has,foreign  income
7762,This,applies to,positive  income
7763,latter,are,other  income
7766,tax,levied in,total  income
7767,this,i,foreign  income
7769,also  DTA,EStR,only  crediting
7770,foreign exemption income,treated as,free tax accordance
7771,1 no.2 EStG,taken into,account
7772,latter progression losses,is possible,tax rate
7774,Consideration,sentence,unused 10d Section
7777,Existing  overview,Part,current BStBl year
7778,that,delimit,application
7780,source state,set,income
7781,double  that,determines,source taxation
7782,final  articles,regulate,well agreement agreement
7783,It,noted,additional DBA agreements
7785,this,found,double  residence
7787,respective taxation regulation,refers to,addressed contracting state
7788,other contracting state,has,generally  right
7789,also  DTA,limited in,double  taxation
7792,unrestricted  Stpfl,have,foreign  country
7793,i,noted,two  states
7795,Stpfl,is,personal life interests
7797,American XV citizenship,leads to dual,dual  residence
7798,Federal Republic,is,foreign  Germany
7799,These,are,also progression proviso
7800,unlimited tax liability,remains unaffected,Germany
7801,Residency,decree on,2 AO card index
7802,foreign source state,is,right
7803,income,recorded in,Federal Germany
7804,foreign  income,ensured,designated income tax Kz
7806,Crediting,ruled,foreign  taxes
7807,foreign  state,has,withholding  taxation
7808,double  taxation,made on,Federal Germany
7810,avoidance,regulated in,separate  agreement
7811,DTAs,use,two  methods
7813,33  Crediting,method,foreign  taxes
7817,2 Section EStG,observed,total  income
7819,foreign  income,is,one  state
7820,foreign  that,based on,taxable  income
7822,foreign  that,EStG,Section 2a
7823,total Section income,As,total  income
7824,silent  which,Losses from silent,foreign  income
7825,foreign  taxes,EStR,total 34c income
7826,foreign  that,EStR,double taxation agreement
7827,deduction,entered in,1 cover Kz
7828,3 Section EStG,is out,question
7829,Additional  information,shown in,foreign income Appendix
7830,private credit method,For foreign,exception
7831,Switzerland,method,foreign  income
7834,183-day  rule,work within,permanent  establishment
7836,when  calculating,treated as,tax accordance
7837,1 no.2 EStG,taken into,account
7838,only establishment income,grant,active  activities
7839,long DBA Italy,apply to,32b Italy
7840,type,see,1 Income Tax Law
7842,Lump sums,deducted,when progression proviso
7844,WKs,reduce domestic,domestic  income
7847,2 34b EStR,observed,§
7850,subject  proviso,entered in,1 Kz 1840/41
7851,income,is,Appendix Kz
7853,variable  information,see subject,1984  subject
7855,Additional  information,shown in,foreign income Appendix
7856,positive  income,recorded,domestic  income
7858,2 Section EStG,in,detail
7860,212 reduction EStR,credited in,34  c
7861,source country,EStR,German income tax
7864,foreign income it,makes,separately 68a sentence
7865,income,are,ESt Kz 1842/43
7866,application,entered under,code
7867,application,made uniformly,certain  country
7870,1 34c EStG,is,foreign  Kz
7871,it,EStG,Section 34c
7873,EStR BStBl I,p,EStR BStBl 1984
7875,foreign  income,reduced to,25  request
7878,4  EStG,listed negative,same  country
7879,commercial participation debtor,domiciled,immovable  property
7880,losses,deducted according,Section 10d EStG
7882,same  Stpfl,reduce,seven assessment periods
7883,legal Section EStG,taken into,automatic income tax assessment
7884,relevant  values,determined,account
7885,negative progression proviso,excluded,Negative Section 2a
7886,513,i,correct monitoring income
7888,4  EStG,create,tax Annex
7889,This,applies to negative,negative progression reservations
7890,2 Section that,EStG,Section 2a
7891,negative progression clause,is possible,income
7893,1 2a EStG,compiled in,Appendix
7894,legal remedy procedure,EStG,516 Section 2a Paragraph
7897,Paragraph,i,commercial  establishments
7899,only  loss,deducted,same  country
7900,522  application,submitted to,local tax office
7902,foreign establishment tax loss,in,2  detail
7903,application,limited to,certain  amount
7904,total assessment amount,Para,3 business 1990
7905,tax exemption,p,34 BFH 8
7908,permanent  establishment,converted into,corporation
7909,it,Paragraph,2  1990
7911,deducted  losses,set,previous  years
7912,currently  losses,is,currently  which
7913,foreign source that,taken into,domestic  taxation
7914,However  taxpayer,has,contrary appeal procedure
7915,Stpfl,request,mutual agreement procedure
7916,responsible tax which,submitted to,competent Federal authority
7917,3  applications,has,much withholding dividends
7919,7 14 7 AStG,are,18 tax §
7921,additional  amount,is,capital assets
7922,additional business amount,AStG,profit
7923,Section 2a Paragraph,be,2 progression 1990
7925,That,applies,u
7926,several tax residents,generates such,foreign  partnerships
7927,latter  participation,reported to,form BfF
7928,1989  I,S,11
7929,determination income,made in,§ 2a Paragraph
7931,exclusively income tax it,is,also § 2a Paragraph
7932,4  income,ESt,14 income forms
7933,1 Section 2a EStG,becomes clear,positive  meaning
7934,Section 2a Paragraph,p,individual income 28
7937,permanent establishment income,Paragraph,3 Section 2a conjunction
7938,1 Income Tax income,Paragraphs,1 Income Tax Act
7939,summary,is,several establishment countries
7940,2 3 B,side by,determined notification side
7941,Paragraph,made in,only tax residence
7943,1 § 2a EStG,B,15  forms
7944,foreign 34c it,B,20  forms
7945,foreign  taxes,state from,which
7946,respective tax office,asked,additional  information
7948,even  assessment,15 of,review
7949,particular  type,be evident,foreign bank receipts
7950,that,objected to,requirements
7953,summary,is in,several  accordance
7954,Section 34c,permitted,Income Tax Act
7955,only  exception,is for,investment Subject
7957,accrued  interest,deducted from,income
7958,that,taken into,related dividend expenses
7959,individual  division,made in,domestic  income
7960,especially  interest,is,related  expenses
7961,taxpayer,i,foreign capital assets
7962,foreign capital income,be,domestic capital assets
7963,that,determine,related tax expenses
7964,initially  that,(,tax credit
7965,tax credit,deducted from,which
7966,only  it,noted in particular,longer reduction claim
7967,Many  DTAs,provide for,abroad tax dividends
7968,this,is,account
7970,claim,matter,foreign tax authority
7972,double OFD Münster,see,2  4
7973,Applications,obtained from,foreign Federal Finance
7975,1842/44/56 1A cover income,entered in,always KSO Kz
7976,that,entered under,longer source Kz
7977,special taxation France,is,tax dividends
7979,shareholders,domiciled in,French capital gains tax
7982,amount,added to,also  income
7983,French tax authorities,grant,15 capital gains %
7985,4 RF 1A,enters,5 Federal delay
7986,5 Federal no.3,intended for,tax office
7987,tax credit,obtained from,Federal Finance
7990,Brazil,d,maximum withholding amount
7991,foreign withholding taxes,offset in,foreign 34c EStG
7993,where  property,assigned to,exclusively  state
7994,Federal income,taken into,only progression proviso
7996,right,is available,immovable  residence
7997,double Federal taxation,in,credit detail
8002,121 Tax income,determined in,always Income Tax Act
8003,abroad  that,excluded for,December
8004,2  EStG,sentence,transitional  Section
8005,progression taxpayer,sentence,previous assessment period
8006,deduction amount,granted for,only 10e Germany
8007,residential  apartment,uses,time
8008,even Income Tax apartment,is,otherwise  time
8011,abroad  that,Paragraph,1  EStG
8012,123 DBA exception,arises from,single family Switzerland
8013,value,was,cent
8015,2 appendix DBA EStG,apply,longer tax purposes
8017,1 34c EStG,permitted,Swiss 34c paragraph
8020,private DTA country,has,regularly  right
8021,income,is,subject DBA Italy cf
8022,DBAs,leave,i
8023,employee,right,183  tax
8027,where  payment,made,wages
8028,112 Managing directors,II,issuing board 15
8029,specific business transaction,carries,1986 BStBl II p
8033,requirements,checked,wages
8034,6 Section EStG,issued by,premises tax office
8035,progression income,is,German  law
8037,foreign  income,are,progression proviso
8038,other  they,reduce domestic,domestic  income
8039,foreign  wages,listed in,Appendix Kz
8040,2839 advertising costs,are to,Kz
8043,expenses Special pension they,LStR,free  income
8044,reduction,affected,other advance hand
8045,first  remuneration,checked to,foreign  activity
8046,agreed working BFH,see,1986 BStBl II p
8049,all,provided,following  requirements
8050,permanent  employer,stay in,work
8051,Deviations,observed,individual  DTAs
8052,third DBA Austria,is detrimental,183-day appendix DBA rule
8054,employee,stay in,respective tax year
8055,length,is decisive,foreign contracting state
8056,stays,added,one tax employers
8057,183-day  period,is for,tax year
8059,tax year,is decisive,activity
8060,different tax year,have,z
8061,Australia1,are,well vacation employment
8062,he,applies,third  work
8063,abroad  circumstances,taken into,individual  account
8064,connection,assumed,foreign  activity
8065,employee,counted towards,also travel employment
8066,also  employee,applies to,employment
8069,who,paid by,activity
8071,employee,is,employee performance
8072,he,II,21
8073,who,4 in,foreign  subsidiary
8074,abroad  employer,is,permanent  establishment
8079,permanent  employer,borne by,activity
8080,definition,is decisive,respective  term
8082,construction  site,becomes,12  months
8083,permanent  activity,borne by,1988 BStBl II p
8086,which,are,permanent  establishment
8087,21 4 I,S,21 4 1981
8088,remuneration,is,permanent cost allocation
8093,14 DBA Italy,contains,temporary  residence
8094,wages,exempted,hourly  Italy
8095,crediting  method,rulings of,1 taxation 1989
8096,special  features,apply to cross,border  commuters
8097,who,France,other ESt Kartei NRW
8098,1986 implementation I,p,border implementation Netherlands
8100,other university DTAs,contain special,different  cases
8101,public DBA employee,works for,public  employer
8102,regardless  state,has,right
8103,usually  employee,apply,employment
8105,This,applies to,also DBA Italy
8106,public  who,are,proportional DBA wages
8107,foreign work income,exempted under,Appendix Kz
8110,foreign  activity,No,Section
8111,uninterrupted  months,is,Annexes
8112,Other tax law,instructions,Bavaria North Rhine
8113,1 tax that,v,BdF IV C
8116,1 security assessment,begin,Social security issues
8117,forms Disposal,used,which
8118,tax assessment,used,other  cases
8119,tax assessments,are subject,review
8120,legal  bases,SDr,assessment
8122,legal Income bases,EStG in,natural version v
8137,Law,specified in,German capital Art
8142,Depreciation tables,distribution,second  1990
8158,1413 233 Commission dealer,VO on,KH KHStVO v
8165,22  12,p,professional labor income
8167,1  1984,.,plant  products
8172,195 235 Corporations Order,v,social  organizations
8177,7,.,4  II
8183,12  1962,GBl,92 II p
8188,4  DB,resident in,social Democratic Republic v
8197,436 VAT benefits,regulated in,legal  provisions
8198,7  1957,.,retail  VAT
8207,8,.,8 freelance VAT
8213,16  10,.,1958 leather VAT
8215,1  7,.,public production I
8217,11  9,.,orthopedic  VAT
8227,9  1962,.,public night II
8260,1 sales tax half,see,appendix
8261,incorrect acceding forms,submitted on,acceding area
8263,taxpayer,asked,correct  forms
8264,annual assessment receipt,shown in,annual tally sheet
8266,This,followed by,annual  declaration
8267,particular  amount,checked according,7  page
8268,annual  taxpayer,check,30  6
8269,outstanding monetary 1990,reduced by,50  %
8271,This,resulted in,relevant target year
8272,to debit 30,serve as,6 1990 assessment offices
8273,owned  companies,letter,1 7 1990
8276,Accordingly tax rate,set for,second  1990
8277,only  that,is,second tax 1990
8278,first  that,are,special state budget
8279,also  payments,applies,153  155
8280,payments,are,annual AV returns
8281,corporations,requested in,first AV 1990
8282,Amount  M,+,1  7
8284,1990 DM1234561 tax rate,acc,30  6
8291,subsequent  payment,confirmed with,back debit payment
8292,due debit date,entered in,project
8293,additional  payments,are due,annual  return
8294,date,noted on,even  person
8297,annual block declarations,creates,one  block
8298,data collection office,confirm,2 declaration forms
8299,cash register,checks,debit position
8300,annual  declaration,handed,further assessment processing
8301,annual  declaration,carried,debit treasury
8302,that,offset against,arrears
8303,account,entered in,1990
8304,annual  declaration,forwarded to,special income tax
8305,block sum,entered in,empty account assignment treasury
8306,annual  declaration,forwarded to,then data collection office
8307,Then debit position,checked by,cash supervisor
8308,respective  processing,noted in,processing order
8309,copy,sent,twice tax 1990
8310,annual  declaration,returned to,finance office
8311,tax office,issue,payment order
8312,Attention,paid to,attachments
8313,payment order,sent to,account reimbursement
8316,different  this,9/29,managed PGH AV
8317,only tax rate,is,analogous Small Amount Ordinance
8318,AV 9/30 corporations AV notice,are,PGH AV 9/53
8319,calculation sheet,sent,debit entry
8320,then block data,recorded,block sum
8321,corresponding completion notes,are,calculation sheet
8322,finance office,enters,together account statement
8323,calculation sheet,returned to,assessment office
8324,postings,are,project
8325,posting,is,special data collection point
8326,annual accounting section,used,calculation sheets
8327,also  that,applies to,initial data project
8328,Correction postings,entered in,only  IABV
8331,3  Amount,paid after,30
8335,Overpaid amounts,shown in,annual  declaration
8336,MPS sum,entered by,22 assessment office
8337,annual  part,attached to,suitable calculation form
8338,basic  information,checked,tax case
8340,address following,d,1991 tax return
8341,far trade spouses,determined in,different tax numbers
8342,different tax accounts,are,income wealth tax purposes
8343,8  Notes,refer to,annual income returns
8344,business that,used as,business expense
8345,higher trade tax,deemed,first  amount
8346,other  parts,(,2nd tax 1990
8347,trade tax,deemed,omitted  taxes
8348,calculated trade tax component,remains,calculated trade tax
8349,overpayment,is,operating receipt
8350,first  the,occurred in,second advance tax 1990
8352,M trade tax,Example,M  VZ
8353,flat business rate,based on,gross business income
8355,retail Loss compensation,is,first capital 1990
8356,capital gains,means,separate capital taxation
8357,also  losses,applies,first business 1990
8358,1990 capital this,set at,calculated  amount
8359,Capital gains,offset against negative,half  years
8360,4 loss compensation,are possible,several  income
8361,This,applies,income tax purposes
8362,Accordingly  losses,offset against,half  year
8363,also trade tax,e,special  taxation
8365,losses,EStG,Section 10d EStG
8367,separately  notification,given,this
8368,that,required,loss
8370,6 1991 6 I,S,1991 Tax Amendment 24
8371,losses,carried,second  1990
8372,This,apply,tax
8373,calculation sheet,contains,corresponding calculation line
8376,852 10a StAnpG,introduced,special donation expenses
8377,income,taken into,Coreper
8378,they,deducted,second  1990
8380,second  wages,are decisive,calendar year
8381,rule,applies,accordingly  corporations
8382,853  donations,are,political  1990
8384,Annual  declaration,included,25 income %
8385,half,outdated,1990
8390,onwards  regulation,applies,25 income %
8394,income tax,is,basic tax rate
8398,AV,takes,legal  account
8399,only tax effect,is,analogous Small Amount Ordinance
8400,free accumulation reserve,calculated in,always Appendix R
8402,business reserve,deducted,business operations
8403,deduction,is,total  income
8404,back  profit,added,correctly business tax
8405,comparable assessment basis,assumed for,income taxpayers
8407,that,i,accounts
8408,amounts,adopted,line
8410,Appendix R,is,income tax file
8411,separate BMF letter,issued on,this
8415,who,are subject,limited accession Section
