,sentence
9232,125 EStR) can also be used under certain conditions for the determination of profits in accordance with Section 4 (3) EStR
9233,* Otherwise reference is made to No. 441
9234,"322 Value in use of the apartment To determine the value in use of the apartment, reference is made to the ESt-Kartei NRW, §§ 13 13a EStG, A No. 100"
9235,"According to this, the value in use is to be measured according to the circumstances of the individual case, also in the case of agriculture and forestry"
9236,"Otherwise, No. 225 applies accordingly"
9237,4 Determination of the profit from agriculture and forestry through bookkeeping (Section 4 (1) EStG) 41 Scope of application On section 127 (1) EStR and on the BMF letter of 15 December 1981 (BStBl 1981 I p
9238,"878, Annex 6 to the income tax hand edition) is pointed out"
9239,Cattle surcharges are also to be taken into account when determining the economic value limit according to § 141 Paragraph 1 No. 3 AO if they are not or not yet the subject of a value update according to §§ 41 i
9240,V with 22 para 1 no 1 BewG have been made
9241,"42 Opening balance sheets To check the opening balance sheets at the transition to the comparison of business assets, reference is made to the remuneration of 9 3 1992 S-2230 - 53 - St 121"
9242,43 Bookkeeping On section 12 EStR and the BMF letter of 15 12 1981 a
9243,", being point out"
9244,44 Determination of profit 441 Average livestock values ​​Reference is made to Section 125 EStR
9245,"The applicable average livestock values ​​result from the ESt-Kartei NRW, §§ 13 13a EStG, A No. 20 For the evaluation of horses, reference is additionally made to the ESt-Kartei NRW, §§ 13 13a EStG, A No. 111"
9246,442 Value in use of apartment no.322 applies accordingly
9247,5 Estimate of the profit for farmers and foresters whose profit cannot be determined using average rates
9248,"51 General In the case of farmers and foresters who are obliged to keep accounts but do not keep proper books, the profit is to be estimated in individual cases according to § 162 AO"
9249,The same applies to those farmers and foresters who are neither obliged to keep accounts nor meet the requirements of Section 13a Paragraph 1 No. 2 and 3 EStG if they do not keep books within the meaning of Section 4 Paragraph 1 EStG and also not the operating income and - have recorded expenditures within the meaning of Section 4 Paragraph 3 EStG (Section 127 Paragraph 2 to 4 EStR)
9250,The estimate has - with the exception of the in Section 127 Paragraph 4 S.
9251,7 second half-sentence of the EStR - to be carried out according to the principles of Section 4 (1) EStG
9252,"When making the estimate, all circumstances that are significant for the estimate must be taken into account (Section 162 (1) p"
9253,2 AO)
9254,The aim of the estimate must be to determine the profit actually achieved
9255,"However, the uncertainties inherent in an estimate are at the expense of the Stpfl, who himself gave cause for the estimate by neglecting his tax cooperation obligations"
9256,It must also be ensured that farmers who are required to keep accounts and whose profits are estimated are reported to the tax auditors if an examination appears to be suitable to encourage the farmer to set up accounts or if the examination promises success for other reasons
9257,"If a tax audit is planned in this sense, the assessment is to be carried out subject to a follow-up audit (Section 164 AO)"
9258,"In accordance with the principles of the FinMin NRW decree of 31 7 1989 S-0337 - 1 - VC 2, announced by order of 9 8 1989 S-0337 - 10 - St 312 to decide"
9259,The following explanatory text must be included in the notification or
9260,"to be attached as an attachment: ""The profit from agriculture and forestry for the financial year 19"
9261,/ 19th
9262,was estimated according to § 162 AO because you did not declare your winnings or
9263,"because you declared a profit that was not determined by bookkeeping, although you are obliged to keep the books"
9264,"If you actually achieved a higher profit than the estimated, the tax would have been set too low"
9265,"In this case, there may be tax evasion or a frivolous tax reduction"
9266,"However, you can then by declaring the actual profit under the further requirements of §§ 371 378 Paragraph 3 AO criminal or"
9267,Obtain no fines
9268,"Furthermore, I would like to point out that failure to comply with the accounting obligation can already result in a tax risk """
9269,52 Estimation of profit according to standard rates Which method of estimation is to be used in individual cases is left to the discretion of the tax office
9270,"If, in individual cases, an estimation method tailored to the particular operational conditions is not to be preferred, or if there are no circumstances particularly influencing the operating result, such as"
9271,"Seed propagation or field vegetable cultivation, exist or"
9272,"have been determined in the course of a previous tax audit and accounting results of comparable companies or empirical records are not available, the profit is to be estimated according to the principles of § 4 Paragraph 1 EStG as follows: starting amount (No. 521) + lease income (No. 522) + surcharges for not winnings paid for with the starting amount or"
9273,Additional profits (no.523) + value in use of the apartment (no.524)
9274,Wage expenses (No. 525)
9275,"Lease expenses, debt interest (No. 526) +"
9276,"Other surcharges and reductions (No. 527) = profit for the financial year The guide rates listed below are intended as a guide for an accurate estimate of the profit (Section 127, Paragraph 2, S."
9277,2 EStR)
9278,"Nevertheless, a reduction in the estimated profit due to objections to individual products of the appraisal process is generally out of the question because special circumstances in an individual branch of the business do not allow any conclusions to be drawn about the profit of the entire business"
9279,The application of the standard rates must not lead to an obviously incorrect taxation (see BFH judgment of 16 12 1965 BStBl 1966 III p
9280,193)
9281,"521 Starting amount The starting amount per hectare of usable agricultural area (UAA) for the 1991/1992 marketing year is: 1 for pasture farming (grassland share 71%,"
9282,and more of the LN) 1400 DM2 for mixed farms (grassland share 31 to 70 percent
9283,der LN) with a root crop content of a) less than 15%
9284,the LN1400 DMb) 15 v
9285,and more of the LN1500 DMc) If the root crop content is more than 25%
9286,", the LN and contains more than 20% of sugar beet"
9287,"of the LN, the starting amount increases to 2000 DMd) If the root crop portion exceeds 30%"
9288,"of the LN, are each started 5 percent"
9289,Additional share of root crops to be added to the above starting amounts per 200 DM3 for arable farms (grassland share up to 30%
9290,der LN) with a root crop content of a) less than 15%
9291,the LN1400 DMb) 15 v
9292,"and more of LN1600 DMc) No. 2 c) and 2 d) apply accordingly4 For dairy cow husbandry, the starting amounts (No. 1 - 3) are to be increased according to the average dairy cow herd of the farm as follows: a) less than 05 cows / ha LN by 250 DMb) 05 to less than 1 cows / ha LN around 400 DMc) 1 to less than 15 cows / ha LN around 550 DMd) 15 and more cows / ha LN around 800 DM Regarding the increase in the starting amounts by a safety margin up to a maximum of 30% in cases of repeated profit estimates"
9293,reference is made to the order of 5 4 1983 S-2150a - 2 - St 113
9294,"The surcharge is not to be shown separately, but to be incorporated into the starting amounts"
9295,Only the pure agricultural production areas belong to the agricultural use
9296,"Areas for buildings, courtyards, paths, ditches, field borders, water, land, quarries, sand pits, etc."
9297,Areas are therefore not considered
9298,Areas for house gardens are also not included
9299,"Otherwise, Section 124 a Paragraph 3 EStR applies accordingly"
9300,"According to this, areas set aside due to public funding programs are still considered to be used for agriculture"
9301,"For the calculation of the relevant root crop, grassland or"
9302,Sugar beet share depends on the size of these shares in the respective marketing year
9303,The areas under cultivation of root crops do not include those areas on which root crops are only grown as catch crops or as catch crops
9304,"Only the meadows and pastures listed in No. 5232 are to be regarded as grassland; the other crops mentioned there (fodder plants) belong to field forage cultivation, the areas of which belong to the field"
9305,"522 Lease income Lease income including income from the milk quota leasing, ground rent and hunting leases, reduced by proportionate operating expenses, e.g."
9306,Property taxes are to be added to the starting amount if they are included in income from agriculture and forestry
9307,This is the case when the leased or
9308,Hereditary assets belong to the lessor's agricultural and forestry business assets
9309,523 Surcharges for winnings or winnings not settled with the starting amount
9310,Additional profits All profits from sustainable or one-off operating income that are not included in the starting amount are to be added to the starting amount
9311,Such surcharges come z
9312,"Consideration for additional profits from sales of breeding cattle and other valuable animals as well as entire animal stocks Profits from abnormal animal husbandry Extra profits from special crops Profits from other special business branches (see ""Special operating income"" on page 4 of Annex L) Profits from the removal and sale of land (see "" Sale / withdrawal of land ""on page 2 of Annex L) Profits from the rental of buildings and parts of buildings belonging to the business assets Profits from the sale of milk quotas and sugar beet quotas as well as from a milk quota leasing compensation for economic difficulties (see also BMF letter of 5 2 1992 BStBl 1992 IS"
9313,187)
9314,"5231 Sales of breeding cattle and other valuable animals As additional profit from the sale of breeding cattle and other valuable animals, the amounts by which the individual selling price including sales tax exceeds the following values: - Breeding bulls DM 3400 - Breeding cows and cattle DM 2600 - Breeding boars DM 900 - Breeding sows DM 800 for Breeding and riding horses are the extra profit with 60 percent"
9315,the amount by which the selling price exceeds the value of 6000 DM
9316,"If sales proceeds of more than DM 13,000 are achieved, the full amount must be recognized as additional profit, which is DM 8,800 (DM 6,000 + 40%"
9317,of 7000 DM)
9318,"Wages for paid workers as well as selling costs (auction fees, insurance contributions, transport costs, etc."
9319,") are taken into account in the amount of the above values, so they cannot be deducted separately"
9320,The additional profit has to be calculated individually for each animal
9321,A netting with sales proceeds that are below the above values ​​may not be carried out
9322,The same procedure is to be followed if above-average prices are achieved for breeding animals other than those specified or for other valuable animals
9323,The value to be used in these cases results from the tax production costs of the animal species in question plus an assumed profit surcharge of 20% included in the initial value for the area with normal animal husbandry
9324,"5232 Abnormal animal husbandry Profits from animal breeding and husbandry are settled with the starting amount, provided that the average normal animal population is not exceeded"
9325,"As animal husbandry settled with the starting amount, other farms for the first 20 ha LN22 VE / ha14 VE / ha for the next 10 ha LN16 VE / ha08 VE / ha for the next 20 ha LN15 VE / ha07 VE / ha over 50 ha LN a total of 90 VE50 VEDie Animal husbandry in VE, which is settled with the starting amount, can also be found in the overview attached as Annex 1"
9326,Forage farms are farms where the forage area is 60 percent
9327,"and more of the usable agricultural area without courtyard and building space, etc."
9328,matters
9329,"In this context, the forage area includes: Meadows (including tree meadows, litter meadows), cattle pastures and arable meadows, as well as the areas under cultivation for clover in pure seed and mixed cultivation, grass clover, alfalfa, seradella, sasparsette, green corn, vetches, sweet lupins and all other forage plants"
9330,Areas on which grain is grown for grain production are not included in the forage area even if the grain is fed to the livestock kept on the farm
9331,"When calculating the number of animals and converting them into VE, the procedure is in accordance with Section 124 a (2) EStR"
9332,The average herds (lines 80 to 86 of Appendix L) and the animals produced (lines 87 to 93 of Appendix L) are to be summarized
9333,Care must be taken that no animals are recorded twice
9334,"For the excess inventory remaining after the normal inventory has been taken into account, the profit for the 1991/1992 financial year is 300 DM / VE"
9335,"Wages are not taken into account here, so they can still be deducted"
9336,5233 Field vegetable cultivation (agricultural use) Field vegetable cultivation is understood to mean the cultivation of vegetables according to agricultural cultivation methods within the framework of agricultural crop rotation
9337,A distinction must be made between field vegetable cultivation in annual cultivation and field vegetable cultivation as a replica
9338,"The following additional profit not settled with the starting amount (No. 521) is to be set for the 1991/1992 financial year: Annual crop: 7,000 DM minus the amount per hectare / UT set in the starting amount for this area; Rebuilding: 5,000 DM per hectare / UT (without reduction) Stpfl is free to provide evidence of the actual proceeds from vegetable growing in the fields"
9339,"In these cases, a discount of 25 per cent"
9340,be acknowledged
9341,The remaining amount is only to be reduced in the case of field vegetable cultivation in annual cultivation by the amount per hectare / UI set in the starting amount for this area
9342,The above standard rates do not take into account wages and can therefore be deducted separately
9343,"5234 Vegetable growing (horticultural use), fruit growing, asparagus and strawberry growing as well as trout pond farming No. 2243 to 2247 apply accordingly for the determination of the profit"
9344,"As a surcharge on the starting amount, however, only the additional profit, i.e."
9345,the profit reduced in order to apply the pro-rata starting amount applied in the individual case
9346,524 Value in use of apartment no.322 applies accordingly
9347,"When estimating the profit, the gross value in use must always be applied, because the expenses associated with the apartment - with the exception of interest on debt (No. 526) and the increased deductions (No. 527) - are taken into account when determining the starting amounts (No. 521) and are thus compensated are"
9348,525 Wage expenses The starting amount (No. 521) is based on the assumption that the business is managed exclusively with unpaid workers
9349,Wage expenses are therefore to be deducted from the starting amount insofar as they relate to the profits settled with the starting amount
9350,The treatment of wage expenses incurred with profits or income not paid for in the starting amount
9351,Additional profits (see No. 523) are related to the respective surcharge regulations (see No. 5231 to 5234)
9352,"For the distribution of wage expenses required in individual cases, No. 222 No."
9353,2 and 3 apply accordingly
9354,"The wage expenses to be deducted also include the expenses for temporary workers employed on a short-term basis as well as for the workers who have been made available by contractors for ordering, maintenance or harvesting work"
9355,"If wage expenses in connection with machine expenses are invoiced in one sum by contractors, there are generally no concerns that the proportionate wage expenses to be taken into account at 25%"
9356,to estimate the gross expenditure
9357,"If the contractor also delivers seeds, fertilizers and pesticides and bills them together with the machine performance, the invoice amount is used to calculate the wage expenses in order to adjust the delivery fee included"
9358,"526 Lease expenses, debt interest Such expenses can be deducted if they are operating expenses and have not already been taken into account when determining the surcharges according to No. 523"
9359,The lease payments then attributable to the profit settled with the starting amount are not fully deductible
9360,The lease also covers expenses that are already included in the starting amount as operating expenses (e.g.
9361,"Property tax, apportionment of the Chamber of Agriculture)"
9362,"The lease payments are therefore to be reduced by the amount contained therein, which is allotted to such expenses"
9363,There are no concerns about reducing this amount to 10 per cent
9364,to estimate the rent payments
9365,"In special individual cases, it may be justified to reduce the amount to 5 percent"
9366,lower if excessive and no longer local rent is paid
9367,"If the lessee does not (or no longer) tax a value in use for a co-leased apartment, the part of the total lease that is attributable to the apartment cannot be deducted as business expenses"
9368,"527 Other surcharges and reductions 5271 Increase in the starting amounts due to the use of third-party buildings (AfA) When calculating the starting amount, the deductions for wear and tear from the value of the company buildings are taken into account in accordance with Section 7 of the Income Tax Act, because it is assumed that the company is owned by the owner himself is managed"
9369,"In cases of leasing or free leasing of agricultural operations in whole or in part of a business with buildings, the depreciation for the business buildings is available to the lessor or"
9370,to the farmer hired free of charge
9371,"In the case of the authorized user, the starting amount must therefore be increased by 100 DM / ha of leased LN"
9372,It is left to the authorized user to prove the depreciation in detail
9373,5272 Reduction of the starting amounts due to increased deductions for residential buildings As such - insofar as the value in use taxation according to § 52 Paragraph 15 S.
9374,2 EStG is continued - e.g.
9375,"increased deductions for residential buildings according to § 7b EStG and in other cases increased deductions according to §§ 7c, d, h, i, k EStG, 82a, g and i EStDV"
9376,"These increased deductions are, however, by the depreciation already taken into account in the starting amount according to § 7 Abs 4 EStG in the amount of 2 percent"
9377,to shorten
9378,"5273 Special depreciation according to § 76 EStDV Special depreciation according to § 76 EStDV can be deducted from the starting amount if the list is kept according to § 7a, Paragraph 8 EStG"
9379,"In these cases, I ask you to request the directory and to attach a copy of the income tax file"
9380,"After the expiry of the preferential period of three financial years, the starting amount is to be increased by a surcharge when claiming the preferential treatment according to § 76 EStDV, since according to § 7a Abs high depreciation amounts would be taken into account"
9381,The surcharge for a financial year results from the total of the special depreciation granted divided by the remaining useful life of the respective asset
9382,The initial amount must be increased for the remaining period of use
9383,"In order to ensure that it is also taken into account in future assessments, the control sheet for profit surcharges (Section 76 EStDV), form no. 724/49 must be kept and attached to the income tax file"
9384,6 Miscellaneous 61 Partial old-age benefits The values ​​of the non-cash partial old-age benefits are to be estimated in accordance with Section 1 Paragraph 1 SachBezV in the version applicable to the respective VZ (Section 87 Paragraph 4 S
9385,7 EStR)
9386,The values ​​are published annually in BStBl I.
9387,"611 For the VZ 1991 and 1992 the following values ​​can then be used as a basis without individual proof: 19911992 for meals with an elderly divider 3564 DM3694 DM for a married couple 6415 DM6649 DM for heating and lighting with an elderly divider 792 DM821 DM with a married couple 1425 DM1478 DM However, there are no concerns about the value of heating and lighting from the tax on approach of the pro rata, based on the energy bills etc."
9388,the actual costs determined
9389,"612 If partial retirement benefits exist based on farm handover agreements between parents and children not only consist of benefits in kind and in kind, it must be checked in each individual case whether the individual partial benefits are life annuities or permanent burdens (recurring payments) (Section 167, Paragraph 1, No. 2 b EStR)"
9390,"If the value-in-use taxation ceases to apply on December 31, 1991, the pensioner may deduct the full value in use of the apartment to be assessed for the pensioner up to this point in the 1991 calendar year as special expenses, even though, in accordance with Section 4a (2) no The value in use is only taxable in the 1991 calendar year (cf. No. 225)"
9391,"62 Control notifications Except in the usual cases (control notifications for the purposes of the Bp, the recording of taxable transactions with other taxpayers, inheritance tax), control notifications are to be prepared in the following cases in particular: or"
9392,to disclose circumstances arising from the files that may affect the level of the fixed unit values ​​(e.g.
9393,"Change in the areas for special uses, changes in the animal population - see also order of 4 10 1977 S-3122 - 4 - St 241)"
9394,Information that may be of importance for an award according to § 41 BewG is summarized on page 4 of Annex L.
9395,I therefore ask in all cases in which the animal population declared in Appendix L obviously exceeds or
9396,"in which, for other reasons, a surcharge according to § 41 BewG may be considered, the assessment body can be informed by sending a copy of page 4 of Annex L."
9397,b) Are access or
9398,"Leases known, so the lessor or"
9399,Inform the leaseholder of the competent assessment office
9400,The same applies to the transfer of use free of charge
9401,"In addition, I ask you to ensure that the Stpfl on page 2 of Annex L the address of the lessee / lessor, etc."
9402,specify exactly
9403,"c) In particular, cases without signal ""A"", in which wage expenses are claimed, and cases with significant wage expenses are to be reported to the responsible wage tax office for examination by the external wage tax audit (cf."
9404,No. 525)
9405,"63 Unit value notifications Unit value notifications for agricultural and forestry assets must always be evaluated promptly, particularly because of the possible effects on the way in which the Stpfl's profit is determined"
9406,"64 Consultation of the valuation files when carrying out the assessment In particular when determining profits in accordance with Section 13a of the Income Tax Act (EStG) and in valuation cases, I ask that you refer to the assessment files for the assessment and review of the values ​​to be applied in the individual case when calculating profits"
9407,"65 Review of Annex L Pursuant to Section 150 (1) and (2) AO, farmers who keep books are also obliged to fill out tax returns, including the annexes, and thus in particular Annex L, completely and truthfully"
9408,"This applies in particular to the area data in lines 32 to 49 of Annex L, which are not only indispensable for the taxation of appraisal farmers, but also"
9409,"also serve to check the applicable profit determination method, to test profits and to be able to monitor value updates"
9410,"The section ""Sale / Withdrawal of Land"" contains the essential basic information required to examine profits from sales and withdrawals"
9411,"If the required information can be clearly found in the individual case from the balance sheet or similar documents, a reference in Annex L to the relevant documents is sufficient"
9412,The information on page 4 of Annex L on the livestock population is used to distinguish between agricultural and commercial animal breeding or
9413,"Animal husbandry, for sales taxation and for the applicable profit determination method"
9414,I would therefore ask you to ensure that farmers and foresters who keep books also fill out Appendix L in full
9415,"If this does not happen and the missing information is essential for taxation and this information does not result from the documents otherwise submitted, a copy of the incomplete Annex L must be returned for the purpose of completion"
9416,I point out the possibility of using coercive means
9417,The plants were not included
9418,--- Income tax / wage tax / church tax Accounting North Rhine-Westphalia Agriculture
9419,Oberfinanzdirektion Koblenz S-2230 A - St 34 2S-2230EStG: 4 / 1EStG: 4 / 3EStG: 13EStG: 13aEStG: 13a / 4EStG: 13a / 4/1 / 2EStG: 13a / 8 / 1EStG: 13a / 8 / 3EStR: 135 / 4 / 1AO: 162 Income taxation of farmers and foresters for the calendar year 19911 General For the income taxation of farmers and foresters for the calendar year 1991 or
9420,"For the determination of profits for the 1991/92 financial year, the basic regulations in the circulars of 18 4 1989 of 4 4 1990 13 5 1991 and of 15 4 1992 - S-2230 A - St 34 2 - (income tax card: card 10 10 a and 10 c to § 13), unless otherwise specified below"
9421,"2 Estimated farmers21 Estimation of the profit according to reference rates When determining the estimated starting amount, a distinction is made - as before - according to the following areas: Area I: Rheinpfalz and Rheinhessen (both the Rhine plain), Koblenz-Neuwied basin, Maifeld and Grafschaft Area II: all other areas As the starting estimated amount per hectare of agricultural land Usable area (UAA) are to be set for the 1991/92 marketing year: Estimated starting amounts per hectare / UAA area forage cultivation area in percent"
9422,the LN to 30 BC
9423,30-60 BC
9424,about 60 BC
9425,DMDMDMIa) 170010001100b) 2000c) 1200c) 1600d) 1600d) 1900IIa) 13008001100c) 1200c) 1600d) 1600d) 1900 Surcharge for growing new potatoes 4500 DM / ha
9426,Turnover guide values ​​per hectare / LN area forage cultivation area in f
9427,the LN to 30 BC
9428,30-60 BC
9429,about 60 BC
9430,DMDMDMIa) 420040004300b) 6000c) 4300c) 4800d) 4800d) 5100IIa) 340034004700c) 3700c) 5200d) 4100d) 5500Surcharge per hectare of early potato cultivation 9500 DM
9431,Notes: a) with predominantly cereal cultivation) with predominantly root crop cultivation c) with dairy farming below 40%
9432,of the cattle herd d) in the case of dairy farming over 40%
9433,"of the cattle herd, based on the average herd of cattle in cattle units according to"
9434,Lines 80 - 86 of Annex L to the income tax declaration
9435,"For the extent of the LN and the forage cultivation area, I refer to No."
9436,331 and no
9437,3334 the o
9438,Circular decree of 18 April 1989 The starting amounts for estimates do not include all operating income
9439,The non-exhaustive list in the above
9440,Circular decree of 18 4 1989 no
9441,333 and no
9442,3371 is noted; also to the aforementioned circular of 4 4 1990 no
9443,2122 Surcharges for profits or profits not settled with the initial estimate
9444,"Additional profits (as far as changes) 211 Viticulture, fruit and vegetable growing The determination of the profit from viticulture or"
9445,Fruit and vegetable growing is permitted in accordance with the instructions in the circulars of 2 9 1992 - S-2233 A - St 34 2 - (ESt-Kartei: Karte 8 b to § 13) and of 22 12 1992 - S-2233 A - St 34 2 - (ESt-Kartei: card 9 c to § 13)
9446,"222 Tobacco cultivation According to the determinations made, the harvest yields in the Palatinate cultivation area have developed as follows (1 dt = 100 kg): marketing year cultivation area ha yield dt monetary value net harvest dt / had avg"
9447,Price DM / dt net income DM / ha neta) Total cultivation1989 / 90 123 328 2112 120 142 292 287 75 217 188 Repayment of the premium withholding from the 1988 harvest in fy
9448,89/90: 441993153921990/91120824062171581181991713142011991/9211292471819206165218977717010 Repayment of premium withholding from harvest 1988 in fy
9449,91/92: 490695b) Cultivation of Geudertheimer (cigar goods) 1989/907011601210779719228367315367
9450,89/90: 0001990/917061388592985091967670131721991/926821499810479719219869915360 Repayment of premium retentions from harvest 1988 in fy
9451,91/92: 49069530774c) Cultivation of Burley (cuttings) 1989/90467110319446235236185620214Repayment of the premium withholding from the 1988 harvest in Fj
9452,89/90: 403892359141990/91439945572993792156772166451991/9238187937942815230790320836 Repayment of premium retentions from harvest 1988 in fy
9453,91/92: 000d) Cultivation of Virgin1989 / 90651167975476180583515076 Repayment of premium withholding from harvest 1988 in Fj
9454,89/90: 37900357291990/9164721560230113277687881991/9266927783631141284511937 Repayment of premium retentions from harvest 1988 in fy
9455,91/92: 000 The 1991 tobacco vintage was of above-average quality and quantity
9456,"However, losses arose as a result of the extreme dry period, as far as no irrigation possibilities were available"
9457,"In addition, the weather conditions in the case of the Virgin variety led in individual cases to bursts of nitrogen oversupply and thus to quantity and quality losses due to color errors"
9458,Occasional drying errors were also found with the Burley and Geudertheimer varieties due to the low humidity
9459,"Hail damage was found sporadically in the following communities: Rheinzabern, Hayna, Steinweiler, Schwegenheim and Lingenfeld"
9460,The income from hail insurance compensation is not included in the table (Appendix 2)
9461,The repayments of the premium withholding of the 1988 harvest of the Geudertheimer variety are shown separately in Appendix 2
9462,The repayments of these premium retentions are to be recorded in terms of income in the financial year 1991/92
9463,"As in previous years, 9200 DM per hectare of cultivated area can be taken into account in the 1991/92 financial year to compensate for the actual construction costs"
9464,"3 Profits from special uses In order to determine the corresponding profits, I refer to the information given in No."
9465,221 listed regulations
9466,4 Other 41 Non-objection limits for non-cash retirement benefits The following lists the non-objection limits that are determined in accordance with Section 1 (1) SachbezV in the version applicable for the respective assessment period: 19911992 (BStBl 91 I S
9467,55) (BStBl 92 I S
9468,"50) MealsHeating and lightingMealsHeating and lightingDMDMDMDMEIndividual35647923694821 Elderly couple6415142666491478 Regarding the application of the non-complaint limits, I refer to the above"
9469,Rdvfg
9470,from 13 5 1991 Tnr
9471,4242 Demarcation of the commercial enterprise compared to agriculture and forestry (purchase of third-party products) According to Section 135 Paragraph 4 S
9472,1 EStR 1990 restricted application of the purchase value-sales comparison for the delimitation of the commercial enterprise compared to the agriculture and forestry in the case of permanent and sustainable purchase of third-party products applies from the beginning of the business year 1991/92 (see the above mentioned)
9473,Rdvfg
9474,from 13 5 1991 para
9475,43 Income tax treatment of sales tax from the transfer of an agricultural and forestry business to a partnership with profit determination according to § 13a EStG In the o
9476,Rdvfg
9477,"From April 15, 1992, a statement was made on the income tax treatment of sales tax from the transfer of an agricultural and forestry business into a partnership with the determination of profits in accordance with Section 13a of the Income Tax Act (No."
9478,"The tax implications shown there also result if no sales tax has been charged, since the invoiced sales tax does not represent an additional claim under civil law"
9479,44 Income tax treatment of premiums for the permanent abandonment of vineyards according to Council Regulation (EEC) No. 1442/88 of 24 May 1988 (OJ
9480,No. L 132 p
9481,"3) The rebate bonuses are to be treated as follows for income tax purposes: 441 In the case of profit determination in accordance with Section 4 (3) of the Income Tax Act (EStG), the bonus received represents operating income at the time it is received"
9482,The clearing costs actually incurred have the effect of operating expenses
9483,442 When determining profits according to § 13a EStGa) For businesses whose comparative value for viticulture before clearing together with the values ​​of other special uses i
9484,"of § 13a Paragraph 4 No. 1 Sentence 2 EStG does not exceed DM 2000, the profit from viticulture is covered by the basic amount according to § 13a Paragraph 4 EStG"
9485,The change in use as a result of the clearing results in a reduction in the initial value and thus the basic amount by the difference in value between the viticultural use and the subsequent use on the cleared area
9486,This means that the grubbing-up premium is to be regarded as an additional income from viticulture and to be recorded as a special profit in accordance with Section 13a (8) No. 3 EStG
9487,"From the clearing costs, only the part corresponding to the remaining useful life of the cleared vineyards can be deducted as operating expenses, because the other part of the clearing costs has already been settled with the basic amount as part of the average rate profit determination"
9488,"b) For businesses whose comparative value for viticulture and other special uses prior to clearing is above DM 2000, the profit from viticulture is regularly determined in accordance with Section 13a (8) of the Income Tax Act by means of an income surplus calculation"
9489,"For these businesses, the clearing premium is to be recorded in full in the year of the inflow as income from viticulture in accordance with Section 13a (8) No. 1 EStG"
9490,"If the comparative value for viticulture has fallen to DM 2,000 or less as a result of clearing, the clearing premium is recorded as a special profit in accordance with Section 13a, Paragraph 8, No. 3 of the Income Tax Act"
9491,"The clearing costs can in any case be deducted as expenses from viticulture, since the profit from viticulture was determined outside the basic amount range before the clearing"
9492,"443 When determining profits in accordance with Section 4 (1) EStG, the premium is to be recorded as operating income in the financial year in which it is generated"
9493,The formation of a deferred income item is not permitted
9494,(communicated with FM decree of 21 August 1991 and of 27 January 1993 - S-2233 A - 442 -) 45 Partial depreciation of the agriculturally used land of book-keeping farmers and foresters451 Right to choose Lowest value principle (minutes of the income tax group meeting of 22 8 1991 - S-2319 A - St 31 1 - Section II no
9495,"The taxpayer thus has the option in each financial year to continue to value the impaired land at acquisition cost, the lower partial value or an intermediate value"
9496,"452 Determination of profit With a full estimate of profit according to § 162 AO, a partial value depreciation on the land is not permitted because the accounting option can only be effectively exercised in a commercial balance sheet or tax balance sheet (BFH of 24 1 1990 BStBl II p"
9497,426)
9498,"As a result, such depreciation is just as impossible in the case of an estimate according to the principles of business asset comparison and the inclusion of the land in a separate register as in the case of profit determination according to § 4 Paragraph 3 and § 13a EStG"
9499,453 Economic property Each property entered in the land register with its own parcel number is an independent economic property (BFH of 29 9 1971 BStBl II 1972 p
9500,"13), unless, as an exception, the status of an independent economic asset is lost (BFH dated 6 12 1978 BStBl II 1979 p"
9501,259)
9502,"454 Evidence If the taxpayer requests the lower partial value for his business property, he bears the objective burden of proof for this"
9503,"The general reference to purchase price collections, the lower price level for agricultural land in a certain region or the overall economic situation in agriculture alone does not justify the recognition of the partial value depreciation claimed, because this does not constitute evidence of the partial value of the land which is decisive in the individual case (record of the Group meeting of August 22, 1991 Section II no"
9504,"Rather, the partial value depreciation must be justified by meaningful documents - related to the individual asset and taking into account the overall circumstances of the individual case"
9505,The reference values ​​determined by the expert committee in the land registry office can only provide a reference point for the valuation
9506,"When providing evidence of the amount of the partial value by means of a report by the expert committee or an expert, the special properties of the property must be taken into account"
9507,"There are no concerns about using the value proven by expert reports for a parcel as a basis for the partial valuation of further property areas of the taxpayer, provided that evidence is provided that these areas are comparable to the property assessed by the expert"
9508,"If proof of the partial value is provided by naming a comparison sale, the factors influencing the value must be used to check whether there is actually a comparability"
9509,The circumstances of the pricing when selling the comparative property - if known - must also be taken into account
9510,"In cases with a significant tax impact, the official agricultural expert must be included in the examination"
9511,Even if the taxpayer has adequately fulfilled his obligation to provide evidence for the desired partial depreciation in accordance with the above principles
9512,"In cases of the coveted partial value depreciation with viticulture use, the above"
9513,Prerequisites to involve the specialist department of the OFD (St 46)
9514,"Particularly in the case of a very short period between the purchase of the area and the coveted partial value depreciation, it must be checked whether the so-called partial value assumption (= acquisition costs) precludes a reduction in the book value to the extent requested, even if the evidence offered initially appears conclusive"
9515,"455 Value creation Value-creating factors of agriculturally used land are, for example, soil qualityType of useArea sizeLocation to the company and to the local community Economic impairments resulting from the location (e"
9516,On a hillside) loads resting on the property (e.g.
9517,Right of way) Own hunting rights associated with the property
9518,Independent intangible assets (e.g. milk quotas or sugar beet delivery rights) are not taken into account when determining the partial value of the land
9519,Lease contracts for agriculturally used areas at customary market conditions are also generally not value-creating circumstances
9520,"46 Forestry Due to a special reason, I would like to refer again to the observance of the above"
9521,Rdvfg
9522,from 18 4 1989 para
9523,56 and from 13 5 1991 No.
